age,id1968,pernum,wgt,year,ln_ly,stato,unid,MH6,div,mar,_merge,wtmedian
2,409,3,19.2,1975,-.39798594,Texas,1,1954,0,0,matched (3),-.42216587
2,6574,3,4.9,1975,-.43006825,Louisiana,0,1953,0,1,matched (3),-.42216587
2,2432,170,0,1974,-.5387032,Arizona,1,1953,0,1,matched (3),-.42216587
2,2661,21,18.4,1970,-.9577719,North Calorina,0,1948,0,1,matched (3),-.42216587
2,613,3,25.4,1975,-.68966115,California,1,1953,0,0,matched (3),-.42216587
2,5146,4,22.1,1974,-.82351911,California,1,1952,0,0,matched (3),-.42216587
2,2831,3,7.3,1975,-.15495968,Missisippi,0,1953,0,1,matched (3),-.42216587
2,5100,1,2.3,1972,-.4066081,California,1,1944,0,1,matched (3),-.42216587
2,5523,3,4.6,1973,.05546999,California,1,1951,0,0,matched (3),-.42216587
2,5536,3,1.2,1974,-.38947177,Missisippi,0,1952,0,1,matched (3),-.42216587
2,231,3,27.7,1975,-1.2262839,California,1,1953,0,0,matched (3),-.42216587
2,5686,1,3.5,1968,-1.2257131,California,0,1946,0,1,matched (3),-.42216587
2,312,3,28.1,1973,-.12569904,California,1,1951,0,1,matched (3),-.42216587
2,722,3,28.1,1972,-.07703495,California,1,1950,0,1,matched (3),-.42216587
2,2898,4,23.8,1973,-.81884611,California,1,1951,0,1,matched (3),-.42216587
2,5488,3,4,1975,-.20815253,North Calorina,0,1954,0,1,matched (3),-.42216587
2,5518,3,16.4,1975,-.047328949,California,1,1954,0,1,matched (3),-.42216587
2,5965,5,3.2,1969,.041131973,Texas,0,1947,0,0,matched (3),-.42216587
2,660,170,0,1976,.26377368,Louisiana,0,1954,0,1,matched (3),-.42216587
2,6107,171,0,1977,-.92272854,Missisippi,0,1954,0,1,matched (3),-.42216587
2,5526,7,1.1,1975,-.46569741,Texas,1,1953,0,0,matched (3),-.42216587
2,2339,3,29.4,1975,-.86512637,California,1,1953,0,1,matched (3),-.42216587
2,2272,1,1.1,1969,-.48912704,Texas,0,1947,0,1,matched (3),-.42216587
2,2339,2,32,1974,-.48931718,California,1,1952,1,0,matched (3),-.42216587
2,1129,170,0,1973,-1.2731013,North Calorina,0,1952,0,1,matched (3),-.42216587
2,5836,4,4,1974,-.62366521,Missisippi,0,1952,0,1,matched (3),-.42216587
2,5836,4,3.2,1973,-.53131604,Missisippi,0,1952,0,1,matched (3),-.42216587
2,1454,1,32.2,1969,-.48979163,Texas,0,1947,0,1,matched (3),-.42216587
2,5463,4,3.4,1975,-.2437551,Missisippi,0,1953,0,1,matched (3),-.42216587
2,5799,1,1.1,1971,.10787988,Texas,1,1943,0,1,matched (3),-.42216587
2,1178,170,0,1973,-.44788837,Texas,1,1952,0,1,matched (3),-.42216587
2,6004,171,0,1975,-.63542187,California,1,1953,0,1,matched (3),-.42216587
2,1689,170,0,1970,-1.0588278,North Calorina,0,1948,0,1,matched (3),-.42216587
2,5437,5,27,1974,-.43720317,California,1,1952,0,0,matched (3),-.42216587
2,6779,3,2.5,1974,-.090366602,California,1,1953,0,1,matched (3),-.42216587
